hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.0500001, -6.46931E-007, 0.0500006, 5.62562E-007, 0.0499992, 1.63263E-007, 0, 0
2, 0.00000, 0.0500007, 1.02014E-007, 0.0499995, 6.88627E-007, 0.0499996, -8.01615E-007, 0, 0
3, 0.00000, 0.0500007, -5.02347E-007, 0.0500002, 1.06379E-006, 0.049999, -4.87773E-007, 0, 0
4, 0.00000, 0.050001, -7.80294E-007, 0.0500002, 1.63194E-006, 0.0499984, -7.37034E-007, 0, 0
5, 0.00000, 0.0500001, -4.53639E-007, 0.0500005, 3.9828E-007, 0.0499994, 2.24709E-007, 0, 0
6, 0.00000, 0.0499991, 6.89438E-007, 0.0499998, -1.43673E-006, 0.0500014, 6.46575E-007, 0, 0
7, 0.00000, 0.0500005, 6.0854E-007, 0.0499992, 1.20506E-007, 0.0500003, -8.12214E-007, 0, 0
8, 0.00000, 0.0500016, 1.36814E-006, 0.0499978, 8.77609E-007, 0.0500002, -2.46537E-006, 0, 0
9, 0.00000, 0.0500019, 9.77044E-007, 0.049998, 1.51258E-006, 0.0499995, -2.64066E-006, 0, 0
10, 0.00000, 0.0500002, 5.90021E-007, 0.0499993, -1.7016E-007, 0.0500005, -5.14112E-007, 0, 0
11, 0.00000, 0.0500006, 8.8435E-007, 0.0499988, 7.37738E-008, 0.0500006, -1.12504E-006, 0, 0
12, 0.00000, 0.0500011, 2.41785E-007, 0.0499992, 9.33385E-007, 0.0499995, -1.19568E-006, 0, 0
13, 0.00000, 0.050002, -1.34368E-007, 0.0499992, 2.12632E-006, 0.0499983, -1.89623E-006, 0, 0
14, 0.00000, 0.05, -1.3835E-006, 0.0500015, 9.09118E-007, 0.0499983, 8.52943E-007, 0, 0
15, 0.00000, 0.049999, 9.96615E-007, 0.0499994, -1.56835E-006, 0.0500019, 2.54088E-007, 0, 0
16, 0.00000, 0.0499981, -8.21459E-008, 0.050001, -1.90177E-006, 0.0500013, 1.94546E-006, 0, 0
17, 0.00000, 0.0499995, -7.64759E-007, 0.050001, -3.84062E-008, 0.0499995, 9.28077E-007, 0, 0
18, 0.00000, 0.0499997, -1.0013E-006, 0.0500012, 2.87262E-007, 0.0499992, 8.45347E-007, 0, 0
19, 0.00000, 0.0499998, -9.07604E-007, 0.050001, 3.87014E-007, 0.0499992, 6.04356E-007, 0, 0
20, 0.00000, -3.99988, 2.92271E-006, -4.00006, 0.000140903, -4.0001, -0.000145511, 0, 0
21, 0.00000, -4.50005, 8.75048E-005, -4.50009, -0.000127405, -4.49982, 1.1181E-005, 0, 0
22, 0.00000, -4.70001, 1.85875E-005, -4.70002, -2.77541E-005, -4.69996, 4.87837E-007, 0, 0
23, 0.00000, -5.00003, 0.00012404, -5.00014, -0.000121187, -4.99979, -4.33594E-005, 0, 0
24, 0.00000, 0.0500005, -8.52157E-007, 0.0500006, 1.14083E-006, 0.0499987, -1.83116E-007, 0, 0
